IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Veritas,Ashton,Butera Royal Vintage,Butera Royal Vintage,,,Blackbird Crow,Ashton VSG,Amendola Core Blend,Alec Bradley Connecticut,Aladino Connecticut,Alec Bradley Texas Lancero
Maxius,Ashton,Byron,Byron,,,Blackbird Cuco,Asylum 13,Amendola Signature Series,Alec Bradley Coyol,Aladino Corojo Reserva,Alec Bradley The Lineage
El Cubano,Asylum,Cabanas,Cabanas,,,Blackbird Finch,Asylum 13 Connecticut,Angelenos by God of Fire,Alec Bradley Magic Toast,Aladino Habano,Alec Bradley The MAXX
Indian Head,Asylum,Cachitos,Cachitos,,,Blackbird Rook,Asylum 13 Corojo,Antonius,Alec Bradley MAXX,Aladino Maduro,All Saints
H. Upmann (Cuban),Asylum,CAIN,CAIN,,,Blue Collar Bundles,Asylum 13 Medulla Oblongata,Antonius Connecticut,Alec Bradley Medalist,Aladino Natural,All Saints Dedicacion
J. London,Asylum,CALDERILLA,CALDERILLA,,,Blue Collar Bundles,Baccarat,Antonius Habano,Alec Bradley Nica Puro,Rancho Luna Maduro,All Saints Saint Francis
El Cuje,Atabey,CALDWELL,CALDWELL,same,,Bold by Nish Patel,Baccarat Barber Pole,Antonius Maduro,Alec Bradley Nica Puro Rosado,Alcazar,Altadis Accessories and Samplers
Havana Blend (Finck),Atabey,CALDWELL LOST & FOUND,CALDWELL LOST & FOUND,same,,BOLIVAR,Baccarat Cigars,Artisan Tabak,Alec Bradley Prensado,Alcazar Maduro,Altar Q By Oscar Valladares
Augusto Reyes,Avanti,CAMACHO,CAMACHO,,,Boutique Smoke by Kafie 1901,Baccarat Nicaragua,Arturo Fuente,Alec Bradley Prensado Fumas,Alec Bradley,Ambrosia
El Credito,Avanti,Campesino,Campesino,,,BOVEDA,Baccarat Repeater,Arturo Fuente Aged Selection Opus 6,Alec Bradley Prensado Lost Art,Alec & Bradley Blind Faith,Antonio y Cleopatra
7 Deadly Sins,Ave Maria,CAO,CAO,,,BRICK HOUSE,Backwoods Cigars,Arturo Fuente Anejo Reserva,Alec Bradley Project 40,Alec & Bradley Gatekeeper,Artisan Honduran
Havana Sunrise,Ave Maria,Captain Black,Captain Black,,,Buck 15,Belinda,Arturo Fuente Casa Fuente,Alec Bradley Project 40 Maduro,Alec & Bradley Kintsugi,Artisan Nicaraguan
Alec Bradley,Ave Maria Cigar Alternatives,Carlos Torano,Carlos Torano,,,BUFFALO TRACE,Belinda Black,Arturo Fuente Chateau,Alec Bradley Select Corojo,Alec Bradley American Classic Blend,Artisans
Perdomo,Avo,Casa 1910,Casa 1910,,,BUTERA,Belinda Cigars,Arturo Fuente Don Arturo Aniversario Destino Al Siglo,Alec Bradley Superstition,Alec Bradley American Sun Grown,Arturo Fuente
Arturo Fuente,AVO,Casa Antero,Casa Antero,,,CAIN,Bellas Artes by AJ Fernandez,Arturo Fuente Don Carlos,Alec Bradley Tempus,Alec Bradley Black Market,Arturo Fuente
Puros Indios,AVO,Casa Blanca,Casa Blanca,,,CALDERILLA,Bering,Arturo Fuente Don Carlos Edicion de Aniversario,Alec Bradley Tempus Fumas,Alec Bradley Black Market Esteli,Arturo Fuente Don Carlos
JR Cigars,Avo,Casa Cuevas,Casa Cuevas,,,CALDWELL,Bering Cigars,Arturo Fuente Don Carlos Edicion de Aniversario 80th,Alec Bradley Tempus Maduro,Alec Bradley Black Market Illicit,Arturo Fuente Especiales
