IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Bugatti (by Perdomo),,,,,,Alec Bradley Family Blend,Alec Bradley Cigars,Romeo Y Julieta Eternal,Perla del Mar Maduro,Nat Sherman Nat's Selections,Romeo Y Julieta Eternal
Moreno Maduro,,,,,,Alec Bradley Kintsugi,Alec Bradley Classic Series,Romeo Y Julieta Reserva Real,Perla del Mar Shade,Nat Sherman Timeless 2019 LE,Romeo Y Julieta House Of Romeo
Tamboril,,,,,,Alec Bradley Magic Toast,Alec Bradley Connecticut,Romeo Y Julieta Reserva Real Nicaragua,Phillies,Nat Sherman Timeless 2019 TAA,Romeo y Julieta Mini
Omar Ortiz,,,,,,alec bradley maxx ,Alec Bradley Connecticut Fumas,Romeo Y Julieta Reserve,Pinar del Rio Habano Sun Grown,Nat Sherman Timeless 2020 TAA,Romeo y Julieta Montague
White Buffalo,,,,,,alec bradley mundial ,Alec Bradley Coyol,Romeo Y Julieta Romeo,Pistoff Kristoff,Nat Sherman Timeless Panamericana,Romeo y Julieta New Baby
Valle de la Iguana,,,,,,alec bradley nica puro ,Alec Bradley Family Blend The Lineage,Romeo Y Julieta Romeo San Andres,Plasencia 1865 Alma Fuerte,Nat Sherman Timeless Prestige,Romeo y Julieta Reserva Real
De Leon,,,,,,BACCARAT,Alec Bradley Magic Toast,Romeo Y Julieta Vintage,Plasencia 1865 Alma Fuerte Colorado,Nat Sherman Timeless Supreme,Romeo y Julieta Reserva Real Cabinet Seleccion
Villa Havana,,,,,,Baccarat Nicaragua,Alec Bradley MAXX,Room 101 Anniversary,Plasencia Alma del Campo,National Brand,Romeo Y Julieta Reserva Real Nicaragua
Dos Amigos,,,,,,BACKWOODS,Alec Bradley Medalist,Room 101 Doomsayer,Plasencia Alma del Fuego,National Brand Cuban Seed,Romeo y Julieta Reserve
Amero,,,,,,BCP APPAREL,Alec Bradley Nica Puro,Room 101 Farce Connecticut,Plasencia Cosecha 146,National Brand Cuban Seed Maduro,Romeo y Julieta Verona
Argyle,,,,,,BCP BATTLE PACKS,Alec Bradley Prensado,Room 101 Farce Habano,Plasencia Reserva Original,Neptune,Romeo y Julieta Vintage
James Norman,,,,,,BCP BRAND,Alec Bradley Prensado Fumas,Room 101 Farce Maduro,Private Stock Long-Filler by Davidoff of Geneva,Neptune,Room 101
Cuvee,,,,,,BCP FLAVORS,Alec Bradley Prensado Lost Art,Room 101 Namakubi,Project E San Andres by Epic Cigars,Neptune Force 2,Room 101 Big Payback
Quai d'Orsay,,,,,,BCP GEAR,Alec Bradley Project 40,Room 101 The Big Payback,Protocol,Nestor Miranda,Room 101 Doomsayer
RVGN,,,,,,BCP SMOKE ODOR ELIMINATOR CANDLES,Arturo Fuente Hemingway,Rustico Habano,Protocol Confidential Informant,Nestor Miranda Collection 75th Anniversary,Room 101 Farce Connecticut
Reserva de Inexpensivo,,,,,,Bellas Artes by A.J. Fernandez,Arturo Fuente Sun Grown,Rustico Habano Maduro,Protocol Official Misconduct,Nestor Miranda Collection Connecticut,Room 101 Farce Maduro
Abam,,,,,,Bellas Artes by A.J. Fernandez,Ashton,S.T. Dupont,Protocol Probable Cause,Nestor Miranda Collection Corojo,Room 101 Farce Original
Inception,,,,,,BIG PAPI BY DAVID ORTIZ,Ashton Aged Maduro,Saga Short Tales,Protocol Themis,Nestor Miranda Collection Habano,Rough Rider Sweets
Topper,,,,,,BLACK & MILD,Ashton Cabinet,Saint Luis Rey Carenas,Puck by Alec Bradley,Nestor Miranda Collection Maduro,Saint Luis Rey
Saint Luis Rey (Cuban),,,,,,Black Bird Jackdaw,Ashton Cigars,Saint Luis Rey Natural Broadleaf,Punch Bareknuckle,Nestor Miranda Private Reserve,Saint Luis Rey
Prisco Cigars,,,,,,Black Bird Unkind,Ashton Estate Sungrown,Saint Luis Rey Reserve Especial,Punch Cigarillos,Nestor Miranda Special Selection Rosado,Saint Luis Rey Carenas
Jose Seijas,,,,,,BLACK LABEL TRADING CO,Ashton Heritage Puro Sol,Saint Luis Rey Series G,Punch Cigars,Nica Libre,Saint Luis Rey Serie G
MBombay,,,,,,BLACKBIRD,Ashton Symmetry,Samplers,Punch Clasico,Nica Libre Aganorsa,Saint Luis Rey Serie G Maduro
Doumitt,,,,,,Blackbird Crow,Ashton VSG,San Cristobal,Punch Deluxe,Nica Rustica,San Cristobal
Vigilante,,,,,,Blackbird Cuco,Asylum 13,San Cristobal Elegancia,Punch Diablo,Nica Rustica,San Cristobal
Clementine,,,,,,Blackbird Finch,Asylum 13 Connecticut,San Cristobal Quintessence,Punch Estate Collection,Nub,San Cristobal Ovation
Castro,,,,,,Blackbird Rook,Asylum 13 Corojo,San Cristobal Revelation,Punch Gran Puro,Nub Cameroon,San Cristobal Quintessence
Alvarez Cigars,,,,,,Blue Collar Bundles,Asylum 13 Medulla Oblongata,San Lotano Connecticut,Punch Gran Puro Nicaragua,Nub Connecticut,San Cristobal Revelation
Vivalo,,,,,,Blue Collar Bundles,Baccarat,San Lotano Dominicano,Punch Grand Cru,Nub Habano,San Doro Colorado
Avanti,,,,,,Bold by Nish Patel,Baccarat Barber Pole,San Lotano Habano,Punch Knuckle Buster,Nub Maduro,San Doro Maduro
Delicioso (Cuban Stock/ Crown David),,,,,,BOLIVAR,Baccarat Cigars,San Lotano Maduro,Punch Rare Corojo,Nub Nuance Double Roast,San Isidro
Outlaw Cigars,,,,,,Boutique Smoke by Kafie 1901,Baccarat Nicaragua,San Lotano Small Batch Connecticut,Punch Signature,Nub Nuance Single Roast,San Lotano
Klafter's Limited Reserve,,,,,,BOVEDA,Baccarat Repeater,San Lotano Small Batch Habano,Puro Ambar Legacy,Nub Nuance Triple Roast,San Lotano Dominicano
Solamente,,,,,,BRICK HOUSE,Backwoods Cigars,San Lotano Small Batch Maduro,Puros Indios Candela,Odyssey,San Lotano Requiem Connecticut
Gerard Pere et Fils,,,,,,Buck 15,Belinda,San Lotano The Bull,Puros Indios Viejo,Odyssey Coffee,San Lotano Requiem Habano
Nuevitas,,,,,,BUFFALO TRACE,Belinda Black,Sancho Panza Double Maduro,Quesada Cigars,Odyssey Connecticut,San Lotano Requiem Maduro
Casa Fernandez,,,,,,BUTERA,Belinda Cigars,Sarsaparilla by Espinosa Cigars,Quorum,Odyssey Habano,San Lotano The Bull
Black Warrior,,,,,,CAIN,Bellas Artes by AJ Fernandez,Sencillo Black by God of Fire,Raji's Untimely Demise,Oliva,San'Doro Claro
Virreyes de Mexico,,,,,,CALDERILLA,Bering,Sencillo Platinum by God of Fire,Ramon Allones by AJ Fernandez,Gilberto Oliva Reserva,Sancho Panza
Big And Beefy (JR Cigars),,,,,,CALDWELL,Bering Cigars,Serino Elenor Rose,Ramon Allones by AJ Fernandez Special Selection,Gilberto Oliva Reserva Blanc,Sancho Panza Double Maduro
La Plata,,,,,,Caldwell Blind Man's Bluff Maduro,Bering Sabor Especial,Serino Royale Connecticut,Ramon Bueso Cigars,Oliva Connecticut Reserve,Sancho Panza Extra Fuerte
Montecruz,,,,,,Caldwell Blind Man's Bluff Nicaragua,Big and Beefy,Serino Royale Maduro,Ramon Bueso Exclusivo,Oliva Master Blends 3,Santa Fe
Supreme Blend,,,,,,Caldwell Blind Mans Bluff,Big and Beefy Cigars,Serino Royale Maduro XX,Ramon Bueso Genesis Habano,Oliva Serie G,Schizo
Domeza,,,,,,Caldwell Eastern Standard,Big and Beefy Connecticut,Serino Royale Medio,Ramon Bueso Genesis Oscuro,Oliva Serie G Maduro,Seleccion Oscuro By EPC
1861,,,,,,Caldwell Long Live the King,Big and Beefy Mas Fuerte,Serino Wayfarer,Ramon Bueso Genesis The Project,Oliva Serie O,Sensei's Sensational Sarsaparilla
Diana Silvius,,,,,,Caldwell Long Live the King Mad Mofo,Black & Mild Cigars,Sin Compromiso,Ramon Bueso Olancho Vintage,Oliva Serie O Maduro,Session By CAO
Bravos (Nicaragua),,,,,,CALDWELL LOST & FOUND,Black Abyss,Sobremesa,Red Lion Cheroots,Oliva Serie V,Shadow King By AJ Fernandez
Don Rosa,,,,,,CALDWELL LOST & FOUND,Black Abyss Cigars,Sobremesa Brulee,REO,Oliva Serie V Maduro,Siboney Reserve By Aganorsa
Santa Ana,,,,,,Caldwell Savages,Black Abyss Connecticut,Southern Draw 300 Hands,Reposado '96,Oliva Serie V Melanio,Siboney Reserve Connecticut by Aganorsa
Little Cigar Factory,,,,,,Caldwell The King Is Dead,Black Abyss Nicaragua,Southern Draw Cedrus,Rex Britannia,Oliva Serie V Melanio Maduro,Siboney Reserve Maduro By Aganorsa
Santa Karina,,,,,,Caldwell The King is Dead Escape Plan,Black Label Trading Co. Bishops Blend,Southern Draw Firethorn,Rocky Patel 15th Anniversary,Oliveros,Sin Compromiso
Don Pancho,,,,,,CAMACHO,Black Label Trading Co. Last Rites,Southern Draw Jacobs Ladder,Rocky Patel ALR Second Edition,Oliveros Gran Retorno Connecticut,Slaughterhouse
Don Rey,,,,,,Camacho American Barrel-Aged,Black Label Trading Co. Lawless,Southern Draw Kudzu,Rocky Patel Broadleaf,Onyx,Sobremesa
Cesar Cigar Factory,,,,,,Camacho BXP,Black Label Trading Co. Memento Mori,Southern Draw Manzanita,Rocky Patel Cargo,Onyx Bold Nicaragua,Sobremesa Brulee
Back Cedarap,,,,,,Camacho Connecticut,Black Label Trading Co. Morphine,Southern Draw Peccadilloes,Rocky Patel Catch 22,Onyx Reserve,Soledad
La Campina,,,,,,Camacho Corojo,Black Label Trading Co. Salvation,Southern Draw Rose of Sharon,Rocky Patel Cigars,Oscar Valladares,Solo Cafe Dark Roast
Grabs,,,,,,Camacho Coyolar,Black Label Trading Co. Santa Muerte,Southern Draw Quickdraw,Rocky Patel Connecticut,Leaf by Oscar,Solo Cafe Medium Roast
Hauptmann's,,,,,,Camacho Criollo,Black Label Trading Co. Super Deluxe,Spanish Galleon Classic,Rocky Patel Decade Cigars,Oscar 2012 Barberpole,Solo Cafe Natural Roast
Indian Tabac,,,,,,Camacho Distillery Edition,Black Label Trading Company Cigars,Spanish Galleon Corojo,Rocky Patel Disciple,Oscar 2012 Connecticut,Southern Draw
Leon (USA),,,,,,Camacho Ecuador,Black Works Studio,Spanish Galleon Maduro,Rocky Patel Edge Square Corojo,Oscar 2012 Corojo,Southern Draw Firethorn
LUJ,,,,,,Camacho Ecuador,Black Works Studio Boondock Saint,Spanish Galleon Ninas,Rocky Patel Edge Square Maduro,Oscar Altar Q,Southern Draw Ignite
Occidental,,,,,,Camacho Nicaragua,Black Works Studio Green Hornet,Stillwell Star,Rocky Patel Edicion Unico,Oscar Valladares Ciseron,Southern Draw Jacobs Ladder
Hiram & Solomon,,,,,,Camacho Nicaraguan Barrel-Aged,Black Works Studio Hyena,Stinky Ashtray,Rocky Patel Fifty-Five,Oscar Valladares Ciseron Sun Grown,Southern Draw Jacobs Ladder Ascension
Pyramid,,,,,,Camacho Triple Maduro,Black Works Studio Intergalactic,Surrogates by L'Atelier,Rocky Patel Hamlet 2020,Oscar Valladares McFly,Southern Draw Jacobs Ladder Brimstone
Habanos (Cuban),,,,,,CAO,Black Works Studio Killer Bee,Tabacos Baez Serie SF,Rocky Patel Hamlet 25th Year,Oscar Valladares Super Fly Connecticut,Southern Draw Kudzu
Nordlicht,,,,,,CAO Amazon,Black Works Studio NBK,Tabak Especial,Rocky Patel Hamlet Tabaquero,Oscar Valladares SuperFly,Southern Draw Manzanita
Cuban Cigar Factory,,,,,,CAO Bones,Black Works Studio Rorschach,Taconic Distillery,Rocky Patel Imperial,Oscar Valladares Wild Hunter,Southern Draw Quickdraw
Cheap Humidors,,,,,,CAO Brazilia,Black Works Studio S & R,Taino,Rocky Patel ITC Emerald,The Oscar Habano,Southern Draw Rose Of Sharon
Ferio Tego,,,,,,CAO Flathead,Black Works Studio Sindustry,Taino Heritage,Rocky Patel ITC Limited Reserve,The Oscar Maduro,Southern Draw Rose Of Sharon Desert Rose
BestCigarPrices.com,,,,,,cao flavours ,Blackstone Tipped,Talavera Edicion Exclusiva 2nd Edition by AJ,Rocky Patel ITC Super Fuerte Maduro,OSOK,Southern Draw Samplers
La Nubia,,,,,,CAO Gold Label,Blind Man's Bluff by Caldwell Cigar Co.,Talavera Edicion Exclusiva 2nd Edition by Oliva,Rocky Patel ITC Super Fuerte Natural,OSOK One Shot One Kill,Stillwell Star
Regina Cigars,,,,,,CAO L'Anniversaire,Blind Man’s Bluff Nicaragua,Tatiana Classic,Rocky Patel It's a Boy/Girl,Padilla,Stolen Throne
Isabela,,,,,,CAO Mx2,Bold by Nish,Tatiana Miniatures,Rocky Patel LB1,Padilla 1932,Super Fly By Oscar Valladares
El Rico Habano,,,,,,CAO Nicaragua,Bolivar Cigars,Tatiana Sweet Trio,Rocky Patel Number 6,Padilla 88 Aniversario,Supreme Leaf By Aganorsa
Beethoven,,,,,,CAO Rare Select,Bolivar Cofradia,Tatuaje 10th Anniversary,Rocky Patel Olde World Reserve,Padilla Finest Hour Connecticut,Surrogates
Don Leo,,,,,,CAO Session,Bolivar Cofradia Lost and Found,Tatuaje 15th Anniversary,Rocky Patel Puro Cubano by Hamlet,Padilla Finest Hour Oscuro,Swisher
Isla de Cuba,,,,,,cao zocalo ,Boneshaker,Tatuaje Avion,Rocky Patel Quarter Century,Padilla Finest Hour Sungrown,Swisher Sweets
Minotaur (by Felipe Gregorio),,,,,,Caobanero,Boneshaker Boneyard,Tatuaje Black Label,Rocky Patel R4,Padilla Miami,Swisher Sweets BLK
Shakespeare,,,,,,captain black ,Boneshaker Cigars,Tatuaje Broadleaf Reserva,Rocky Patel Royal Vintage,Padron,Tabacalera La Alianza Connecticut
Legends Cigar Co.,,,,,,carbon copy ,Boneshaker Full Body Cast,Tatuaje Brown Label,Rocky Patel Royale,Padron 1926 Serie Maduro,Tabacalera La Alianza Maduro
Wm. Ascot,,,,,,carbon copy c ,Boneshaker Tombstone,Tatuaje Cohetes,Rocky Patel Royale Fumas,Padron 1926 Serie Natural,Tabacalera La Alianza Natural
Creme de Jamaica (Jamaica),,,,,,DAMN GOOD,Brick House,Tatuaje El Triunfador Cigars,Rocky Patel Signature Series,Padron 1964 Anniversary Maduro,Tabacalera Palma
Sol Cubano,,,,,,DAVIDOFF,Camacho Ecuador,Tatuaje Fausto,Rocky Patel Sixty,Padron 1964 Anniversary Natural,Tabak Especial
Cuban Desire,,,,,,Davidoff 702 Aniversario Series,Camacho Factory Unleashed,Tatuaje Havana VI Red,Rocky Patel Sun Grown,Padron 50th Anniversary Limited Edition,Tabamex
Soneros (Cubanacan),,,,,,Davidoff Aniversario,Camacho Liberty Series 2018,Tatuaje La Verite Vintage 2013,Rocky Patel Sun Grown Maduro,Padron Black,Talon Filtered Cigars
Ted's Cigars,,,,,,Davidoff Dominicana,Camacho Liberty Series 2019,Tatuaje Limited Release,Rocky Patel TAVICUSA,Padron Damaso,Tampa Trolleys
Gioconda,,,,,,Davidoff Escurio,Camacho Liberty Series 2021,Tatuaje Mexican Experiment,Rocky Patel The Edge A-10,Padron Family Reserve Maduro,Tatiana
American Made,,,,,,Davidoff Grand Cru Series,Camacho Nicaragua,Tatuaje Miami,Rocky Patel The Edge B52,Padron Family Reserve Natural,Tatiana
Cimarron,,,,,,Davidoff Millennium Blend Series,Camacho Nicaraguan Barrel-Aged,Tatuaje Monster Series,Rocky Patel The Edge Barrel-Aged,Padron Series Maduro,Tatiana Classic
Privada Cigar Club,,,,,,Davidoff Nicaragua Series,Camacho Scorpion,Tatuaje Negociant Monopole,Rocky Patel The Edge Barrel-Aged Black,Padron Series Natural,Tatiana Dolce
Hoja de Nicaragua,,,,,,Davidoff Royal Release,Camacho Scorpion Fumas,Tatuaje Nuevitas,Rocky Patel The Edge Candela,Pappy Van Winkle,Tatiana La Vita
Classic,,,,,,Davidoff Royal Release,Camacho Scorpion Sweet Tip,Tatuaje Series P,Rocky Patel The Edge Connecticut,Pappy Van Winkle Tradition,Tatiana Miniature
La Havanita Cigar Factory,,,,,,Davidoff Signature Series,Camacho Triple Maduro,Tatuaje Tattoo,Rocky Patel The Edge Corojo,Partagas,Tatiana Mocha
Rey de Reyes (Rolando Reyes),,,,,,Davidoff Winston Churchill,CAO 60,Tatuaje Verocu,Rocky Patel The Edge Fumas,Partagas,Tatiana Tins
Havana Soul,,,,,,Davidoff Winston Churchill Late Hour,CAO Amazon Basin,The Summer Sausage,Rocky Patel The Edge Habano,Partagas 1845 Clasico,Tatuaje
Pirate's Gold,,,,,,Davidoff Yamasa Series,CAO Arcana,The T Connecticut by AJ Booth Caldwell,Rocky Patel The Edge Maduro,Partagas 1845 Extra Fuerte,Tatuaje
Rafael Gonzalez,,,,,,DE NOBILI,CAO Bones,The T Habano by AJ Booth Caldwell,Rocky Patel The Edge Sumatra,Partagas 1845 Extra Oscuro,Tatuaje 10th Anniversary
Fresh Rolled,,,,,,Deadwood,CAO Brazilia,The T Maduro by AJ Booth Caldwell,Rocky Patel Twentieth,Partagas AnejoNew,Tatuaje Black
Habanica,,,,,,DECISION BROADLEAF,CAO Cameroon,The Tabernacle Broadleaf,Rocky Patel Twentieth Maduro,Partagas Black Label,Tatuaje Broadleaf Collection
Cavana,,,,,,DIAMOND CROWN,CAO Cigars,The Tabernacle Havana Seed CT No. 142,Rocky Patel Vintage 1979,Partagas Cortado,Tatuaje Escasos
Casa Cuevas,,,,,,Diamond Crown Humidors,CAO Colombia,The Upsetters,Rocky Patel Vintage 1990,Partagas Heritage,Tatuaje Fausto
Tatiana,,,,,,Diamond Crown Julius Caeser,CAO Consigliere,Timeless Supreme,Rocky Patel Vintage 1992,Partagas Legend,Tatuaje Fausto Avion
Roberto P. Duran,,,,,,Diamond Crown Maximus,CAO Flathead,Tita Connecticut,Rocky Patel Vintage 1999 Connecticut,Partagas Limited Reserve Decadas 2019,Tatuaje Havana VI
Zemis,,,,,,Diamond Crown Original,CAO Flathead Steel Horse,Tita Sun Grown,Rocky Patel Vintage 2003 Cameroon,Partagas Limited Reserve Decadas 2021,Tatuaje Havana VI Verocu
Cupey,,,,,,Diamond Crown Original,CAO Flavours,Todos Las Dias,Rocky Patel Vintage 2006 San Andreas,Patoro,Tatuaje Limited Release
Rafaeli's,,,,,,Dias de Gloria,CAO Gold,Torrisi,Rocky Patel Vintage 2nds,Patoro Brasil,Tatuaje Mexican Experiment ME II
Santa Cruz (Jamaica),,,,,,DIESEL,CAO Gold Maduro,Toscano Cigars,RoMa Craft Baka,Patoro Gran Anejo Reserva,Tatuaje Miami
Arango,,,,,,Diesel Whiskey Row,CAO Heritage Reserve,Trader Jack's Aromatic,RoMa Craft CroMagnon,Patoro Serie P,Tatuaje Negociant
Black Crown,,,,,,DJARUM,CAO Italia,Trinidad Espiritu,RoMa Craft CroMagnon Aquitaine,Patoro VA XO,Tatuaje Nuevitas
Guayacan,,,,,,Djarum Vintage,CAO Maduro,Trinidad Espiritu Series No. 2,RoMa Craft Intemperance BA XXI,Perdomo,Tatuaje Reserva Nicaragua
East End Cigar Co.,,,,,,DON DIEGO,CAO MX2,Tuscarora Cigars,RoMa Craft Intemperance EC XVIII,Perdomo 20th Anniversary Connecticut,Tatuaje Series P
Trinidad y Hermano,,,,,,DON LINO,CAO Nicaragua,Umbagog,RoMa Craft Intemperance Whiskey Rebellion 1794,Perdomo 20th Anniversary Maduro,Tatuaje Skinny Monsters
E. Zarzuela,,,,,,DON MANUEL,CAO Pilon,Vallejuelo Cigars,RoMa Craft Neanderthal,Perdomo 20th Anniversary Sun Grown,Tatuaje Tattoo
Flor de Oliva,,,,,,DON PEPIN,CAO Session,Vallejuelo Medio Tiempo,Romeo 505 Nicaragua,Perdomo Craft Series Pilsner,Te Amo
Bacchus (Thompson),,,,,,don pepin garcia black ,Caobanero by MJ Frias,VegaFina 1998,Romeo by Romeo y Julieta,Perdomo Double Aged 12 Year Connecticut,The Brick by Torano
Monte Verde,,,,,,Don Pepin Garcia Blue Label,Capa de Sol by E.P. Carrillo,Vegas Cubanas By My Father,Romeo San Andres by Romeo y Julieta,Perdomo Double Aged 12 Year Maduro,The Glen Single Malt
Las Memorias Cubanas (by La Tradicion Cubana),,,,,,Don Pepin Garcia Series JJ,Captain Black Little Cigars,Vertigo by Lotus,Romeo y Julieta 1875,Perdomo Double Aged 12 Year Sun Grown,The Judge by J. Fuego
M.A.C.,,,,,,Don Pepin Garcia Tobacos Baez,Casa Antero,Viaje,Romeo y Julieta 1875 Cigarillos,Perdomo Estate Seleccion Vintage Connecticut,The King Is Dead Escape Plan
Licenciados (Nicaragua),,,,,,Don Pepin My Father Le Bijou 1922,Casa Blanca,Viaje Anniversary,Romeo y Julieta 1875 Connecticut Nicaragua,Perdomo Estate Seleccion Vintage Maduro,The Oscar Habano
Victor de La Cruz,,,,,,Don Tomas Clasico,Casa Blanca Cigars,Viaje Atlantic Cigar 25th Anniversary,Romeo y Julieta 1875 Nicaragua,Perdomo Estate Seleccion Vintage Sun Grown,The Oscar Maduro
La Flor de Cano (Cuban),,,,,,Don Tomas Special Edition Corojo,Casa Blanca Nicaragua,Viaje Birthday Blend,Romeo y Julieta Aniversario,Perdomo Fresco,The Tabernacle
Puro Nicaragua,,,,,,drew estate ,Casa Blanca Reserve,Viaje Black & White,Romeo y Julieta by AJ Fernandez,Perdomo Fresco Maduro,The Tabernacle Havana Seed CT #142
Nomad,,,,,,dunbarton tobacco and trust saka ,Casa Cuevas Cigars,Viaje Cache,Romeo y Julieta Cigars,Perdomo Fresco Sun Grown,The Upsetters
Kentucky Moonshine,,,,,,dunhill signed range ,Casa Cuevas Connecticut,Viaje Chicharrones,Romeo Y Julieta Eternal,Perdomo Habano Maduro,Tiparillo
Carrington,,,,,,dutch masters ,Cohiba Cigars,Viaje Circa '45,Romeo y Julieta Media Noche,Perdomo Habano Sungrown,Todos Las Dias
Lady Club,,,,,,EL ARTISTA,Cohiba Connecticut,Viaje Circa 45 Reserva Maduro,Romeo y Julieta Miniatures,Perdomo Inmenso Seventy Maduro,Top Rated Pairings
Amoroso,,,,,,EL BATON,Cohiba Dominican,Viaje Craft Series,Romeo y Julieta Perlado,Perdomo Inmenso Seventy Sun Grown,Top Shelf Samplers
Middleton,,,,,,EL CAMINO DOMINICANO,Cohiba Macassar,Viaje Exclusivo,Romeo y Julieta Reserva Real,Perdomo Lot 23,Topper
Maxum,,,,,,El Centurion,Cohiba Nicaragua,Viaje Friends & Family,Romeo y Julieta Reserva Real Nicaragua,Perdomo Lot 23 Connecticut,Topper Cigars
Hamiltons,,,,,,EL COBRE,Cohiba Red Dot,Viaje Full Moon,Romeo y Julieta Reserve,Perdomo Lot 23 Maduro,Topper Original Handmade
Evil Genius Cigars,,,,,,EL COTO,Cohiba Royale,Viaje Holiday Blend,Romeo y Julieta Reserve Maduro,Perdomo Reserve 10th Anniversary Maduro,Torano
Tenorio,,,,,,El Criollito,Cojimar Cigars,Viaje Honey & Hand Grenades,Romeo y Julieta RyJ Nicaragua by AJ Fernandez,Perdomo Reserve 10th Anniversary Sun Grown,Toscanello
Mister Hyde's,,,,,,EL GUEGUENSE,Consuegra,Viaje Juntos,Romeo y Julieta Viejo,Perdomo Reserve Champagne Connecticut,Toscano
A. Pontillo,,,,,,EL RELOJ,Cornelius & Anthony Cigars,Viaje Late Harvest,Romeo y Julieta Vintage,Perdomo Small Batch Series Connecticut,Toscano
Don Carbone,,,,,,EL RELOJ,Cornelius & Anthony Cornelius,Viaje Oro,Ron Mexico,Perdomo Small Batch Series Maduro,Trader Jack's
Vallarta Cigar Factory,,,,,,EL REY DEL MUNDO,Cornelius & Anthony Daddy Mac,Viaje Pepper Series,Room 101 The Big Payback Connecticut,Perdomo Small Batch Series Sun Grown,Trill Habano
Fallen Angel,,,,,,EL RICO,Cornelius & Anthony Senor Esugars,Viaje Pina,Room 101 The Big Payback Sumatra,Perla del Mar,Trinidad
Cigar Compadres,,,,,,ELENOR ROSE,Cornelius & Anthony The Gent,Viaje Platino,Room101 Cigars,Perla del Mar Corojo,Trinidad Espiritu
Nobel,,,,,,Enclave by A.J. Fernandez,Davidoff 702 Series,Viaje Private Keep,Room101 Big Payback Maduro,Perla del Mar Maduro,Trinidad Espiritu Series No. 2
Nica Libre,,,,,,EP CARRILLO,Davidoff Aniversario Series,Viaje Satori,Room101 Breakfast in Portugal,Perla del Mar Shade,Trinidad Esteli By Plasencia
Boston Cigar Factory,,,,,,EP Carrillo New Wave Connecticut,Davidoff Cigar Assortments,Viaje Skull & Bones,Room101 Doomsayer,Pichardo,Trocadero
Tranquilo,,,,,,EP Carrillo New Wave Reserva,Davidoff Cigarillos and Small Cigars,Viaje Summer Series,Room101 FARCE,Pichardo Clasico,Tuscarora
SWAG,,,,,,EP Carrillo Seleccion Oscuro,Davidoff Cigars,Viaje Summerfest,Room101 FARCE Connecticut,Pichardo Clasico Maduro,Ugly Coyote
Onyx,,,,,,EPIC CIGARS,Davidoff Colorado Claro,Viaje Super Shot,Room101 FARCE Maduro,Pichardo Clasico Natural,Ugly Coyote Cheroots
